Year,Sector,End Use,Energy Consumption (ktoe),Emissions (ktCO2e),Annual_HDD,Energy_per_HDD
2007,Industrial,Unknown industrial heat,197.1649675668239,655.7036482270679,5.0967660277255415,38.68432776672108
2007,Services,Cooking/ Catering,1981.3328092719228,1289.792324134974,5.0967660277255415,388.74313603838374
2007,Services,Lighting/ Appliances,3801.5422907490915,2474.6978617309805,5.0967660277255415,745.8734166075797
2007,Services,Other non-transport,2447.4307602489457,1593.2090730284194,5.0967660277255415,480.19288053156413
2007,Services,Space heating,9288.341748221503,6046.45107310407,5.0967660277255415,1822.3990855563118
2007,Services,Water ,1497.1382444239994,974.5951850141549,5.0967660277255415,293.7427844008969
2008,Domestic,Cooking/ Catering,1326.7749492000194,2262.6598222639263,5.742554011434939,231.04265916490476
2008,Domestic,Lighting/ Appliances,7450.38804350965,12705.76724145206,5.742554011434939,1297.399733406767
2008,Domestic,Space heating,28957.480179386854,49383.602694193585,5.742554011434939,5042.613464623036
2008,Domestic,Water ,8263.282557982458,14092.063959479014,5.742554011434939,1438.9560013764058
2008,Industrial,Drying/Separation,2473.4678129154363,7611.064128247622,5.742554011434939,430.72608598719484
2008,Industrial,Lighting/ Appliances,260.7605563527843,802.3817031923599,5.742554011434939,45.40846387052543
2008,Industrial,Motors/Drivers,2802.2287278281124,8622.688533948867,5.742554011434939,487.9760333552172
2008,Industrial,Other non-transport,8264.10942441342,25429.345174267077,5.742554011434939,1439.099990693583
2008,Industrial,Process use,12184.676632532433,37493.25329722219,5.742554011434939,2121.8218597978407
2008,Industrial,Space heating,4039.262037740703,12429.141887156513,5.742554011434939,703.3912140308071
2008,Industrial,Unknown industrial heat,195.09467183640825,600.3223695383879,5.742554011434939,33.97350228625161
2008,Services,Cooking/ Catering,2140.7089043089445,1579.1134561623005,5.742554011434939,372.7799338145063
2008,Services,Lighting/ Appliances,4107.333908685467,3029.8123351108716,5.742554011434939,715.2451505909534
2008,Services,Other non-transport,2644.2992296028156,1950.591454625344,5.742554011434939,460.474420325402
2008,Services,Space heating,10035.485100551525,7402.767153207556,5.742554011434939,1747.5647735429613
2008,Services,Water ,1617.5662946789992,1193.2125367539295,5.742554011434939,281.6806409583607
2009,Domestic,Cooking/ Catering,1265.3010863545098,2172.6999566188138,5.663685583822574,223.40595494365772
2009,Domestic,Lighting/ Appliances,7105.1869730427325,12200.605527476226,5.663685583822574,1254.5164924651856
2009,Domestic,Space heating,27615.78453916353,47420.18679767749,5.663685583822574,4875.93884414129
2009,Domestic,Water ,7880.417401439226,13531.785225582267,5.663685583822574,1391.3938697353533
2009,Industrial,Drying/Separation,1876.28113744792,6180.827249087107,5.663685583822574,331.2827150587634
2009,Industrial,Lighting/ Appliances,197.80330704949486,651.601748677174,5.663685583822574,34.92483898020202
2009,Industrial,Motors/Drivers,2125.6669997420836,7002.351754365376,5.663685583822574,375.3151491696002
2009,Industrial,Other non-transport,6268.84754669844,20650.777201602643,5.663685583822574,1106.8494982497643
2009,Industrial,Process use,9242.844726803265,30447.690064300088,5.663685583822574,1631.9487708152435
2009,Industrial,Space heating,3064.034684845699,10093.513543499019,5.663685583822574,540.996607155883
2009,Industrial,Unknown industrial heat,147.99159741310103,487.51249462060616,5.663685583822574,26.129910501355464
2009,Services,Cooking/ Catering,2289.693614578305,1312.9192034439257,5.663685583822574,404.27625804625427
2009,Services,Lighting/ Appliances,4393.187791543289,2519.0709268387736,5.663685583822574,775.6764966070393
2009,Services,Other non-transport,2828.331796475819,1621.7764270561822,5.663685583822574,499.3800864501559
2009,Services,Space heating,10733.914409229908,6154.868173747727,5.663685583822574,1895.217213308882
2009,Services,Water ,1730.142388172678,992.070358960491,5.663685583822574,305.47994986066266
2010,Domestic,Cooking/ Catering,1394.2901948122133,2448.1549377938777,6.819269406392664,204.46328070059064
2010,Domestic,Lighting/ Appliances,7829.513967591199,13747.398749272641,6.819269406392664,1148.1455711738695
2010,Domestic,Space heating,30431.031807566414,53432.119840654916,6.819269406392664,4462.506170974725
2010,Domestic,Water ,8683.77403003017,15247.345458932852,6.819269406392664,1273.4170645743434
2010,Industrial,Drying/Separation,1958.3895698031547,6388.866267560573,6.819269406392664,287.18466056895767
2010,Industrial,Lighting/ Appliances,206.4594295955043,673.5338595043153,6.819269406392664,30.2758869450092
2010,Industrial,Motors/Drivers,2218.688872410631,7238.042273979767,6.819269406392664,325.3558028270215
2010,Industrial,Other non-transport,6543.180233021497,21345.856880519434,6.819269406392664,959.5133793786839
2010,Industrial,Process use,9647.323285945487,31472.521741434703,6.819269406392664,1414.7150832465557
2010,Industrial,Space heating,3198.1207125914902,10433.248754647058,6.819269406392664,468.9828956740498
2010,Industrial,Unknown industrial heat,154.46789663223873,503.9215636314576,6.819269406392664,22.651678270319422
2010,Services,Cooking/ Catering,2420.0581543428652,1405.843436437445,6.819269406392664,354.8852538476047
